Date,Year,Country,Activity,Sex,Age,Fatal (Y/N),Species
sep,2016,AUSTRALIA,Surfing,M,17,N,White shark
sep,2016,USA,Surfing,M,16,N,
sep,2016,USA,Surfing,M,36,N,
sep,2016,USA,Surfing,M,43,N,
sep,2016,USA,Surfing,M,43,N,
sep,2016,AUSTRALIA,Surfing,M,,N,
sep,2016,AUSTRALIA,Surfing,M,,N,
sep,2016,AUSTRALIA,Fishing,,,N,
sep,2016,USA,Wading,M,60,N,
sep,2016,USA,Swimming,F,51,N,Tiger shark
sep,2016,NEW CALEDONIA,Kite surfing,M,50,Y,
sep,2016,USA,Boogie boarding,F,12,N,
sep,2016,AUSTRALIA,Surfing,M,,N,
sep,2016,USA,Body boarding,M,9,N,
sep,2016,USA,Spearfishing,M,22,N,White shark
,2016,MEXICO,Cage Diving,,,,
aug,2016,USA,Surfing,M,25,N,Bull shark
aug,2016,USA,Surfing,M,37,N,
aug,2016,REUNION,Surfing,M,20,N,Bull shark
aug,2016,USA,Wading,M,49,N,
aug,2016,BAHAMAS,Snorkeling,M,15,N,
aug,2016,USA,SUP Foil boarding,M,21,N,Tiger shark
aug,2016,USA,Surfing,M,22,N,Blacktip shark
jul,2016,SPAIN,Swimming,M,40,N,Blue shark
jul,2016,CHINA,Swimming,M,72,N,
jul,2016,AUSTRALIA,Kayaking,M,,N,White shark
jul,2016,USA,Lobstering,M,43,N,Nurse shark
jul,2016,AUSTRALIA,Surfing,M,18,N,
jul,2016,JAPAN,Surfing,M,29,N,
jul,2016,AUSTRALIA,Surfing,M,36,N,
jul,2016,BAHAMAS,Spearfishing,M,,N,Bull shark
jul,2016,AUSTRALIA,Fishing,M,31,N,reef shark
jul,2016,USA,Fishing in Alabama Deep Fishing Rodeo,,,N,Tiger shark
jul,2016,USA,Surfing,F,9,N,
jul,2016,USA,,F,11,N,
jul,2016,USA,Kite surfing,M,61,N,White shark
jul,2016,USA,Swimming,M,,N,
jul,2016,BAHAMAS,Scuba Diving,M,,N,Lemon shark
jul,2016,SPAIN,Wading,F,10,N,Angel shark
jul,2016,USA,Fishing for squid,M,,N,White shark
jul,2016,USA,Fishing,M,59,N,dogfish shark
jul,2016,USA,Fishing for sharks,M,,N,White shark
jul,2016,USA,Swimming,F,42,N,
jul,2016,AUSTRALIA,Fishing,M,34,N,nurse shark
jun,2016,USA,,M,35,N,
jun,2016,USA,Surfing,M,11,N,
jun,2016,COLUMBIA,Scuba Diving,M,59,N,reef shark
jun,2016,SOUTH AFRICA,Spearfishing,M,43,N,White shark
jun,2016,USA,Floating,M,42,N,
jun,2016,USA,Wading,M,,N,
jun,2016,USA,Surfing,M,,N,
jun,2016,AUSTRALIA,Spearfishing,M,19,N,
jun,2016,USA,Floating in tube,F,6,N,
jun,2016,USA,Standing,M,19,N,
jun,2016,USA,Surfing,M,27,,
jun,2016,USA,Swimming,M,64,N,
jun,2016,AUSTRALIA,Diving,F,60,Y,
jun,2016,EGYPT,Swimming,M,23,N,Mako shark
jun,2016,AUSTRALIA,Spearfishing,M,,,whaler shark
jun,2016,NEW CALEDONIA,Kite surfing,M,,N,
may,2016,AUSTRALIA,Surfing,M,29,Y,White shark
may,2016,USA,Swimming,F,52,N,
may,2016,USA,Swimming,M,13,N,
may,2016,USA,Swimming,F,57,N,
may,2016,USA,Swimming,F,22,N,Bull shark
may,2016,USA,Swimming,F,11,N,
may,2016,USA,Swimming,M,48,N,Blacktip shark
may,2016,USA,Teasing a shark,F,23,N,Nurse shark
may,2016,USA,Floating,M,59,N,
may,2016,NEW ZEALAND,Fishing,M,39,N,Mako shark
apr,2016,INDONESIA,Surfing,M,24,N,Bull shark
apr,2016,USA,Surfing,M,15,N,
apr,2016,SOUTH AFRICA,Surf-skiing,M,,N,White shark
apr,2016,AUSTRALIA,Swimming,M,12,N,Wobbegong shark
apr,2016,FRENCH POLYNESIA,Spearfishing,M,22,,reef shark
apr,2016,FRENCH POLYNESIA,Spearfishing,M,26,N,reef shark
apr,2016,USA,Spearfishing,M,26,N,Bull shark
apr,2016,NEW CALEDONIA,Walking,F,69,Y,Tiger shark
apr,2016,CAPE VERDE,,M,60,,
apr,2016,USA,Fishing,M,34,N,
apr,2016,USA,SUP,M,,,
mar,2016,USA,Snorkeling,F,46,N,
mar,2016,AUSTRALIA,Surfing,M,22,N,
mar,2016,USA,,M,,,
mar,2016,AUSTRALIA,Surfing,M,41,N,
mar,2016,BAHAMAS,,M,9,N,Nurse shark
mar,2016,USA,Surfing,,,,
mar,2016,USA,Body surfing,M,19,N,
mar,2016,FIJI,Diving for beche-de-mer,M,45,Y,
mar,2016,USA,,M,12,N,
mar,2016,AUSTRALIA,Fishing,M,,N,
mar,2016,BRAZIL,Swimming,M,41,N,Sandtiger shark
feb,2016,NEW CALEDONIA,Kite surfing,M,21,N,
feb,2016,NEW CALEDONIA,Spearfishing,M,31,N,
feb,2016,DOMINICAN REPUBLIC,Wading,F,,N,
feb,2016,CAYMAN ISLANDS,Feeding stingrays?,M,65,,No shark
feb,2016,AUSTRALIA,Surfing,M,,,No shark
feb,2016,AUSTRALIA,Walking,F,45,N,
feb,2016,AUSTRALIA,Windsurfing,M,40,N,
feb,2016,BRAZIL,Swimming,M,41,N,Sandtiger shark
jan,2016,SOUTH AFRICA,Kayak fishing,M,,N,
jan,2016,USA,Surfing,M,,N,Reef shark
jan,2016,USA,Surfing,F,15,N,
jan,2016,USA,Spearfishing,M,,N,Bull shark
jan,2016,UNITED ARAB EMIRATES,Fishing,M,,N,Mako shark
jan,2016,USA,Paddle boarding,M,48,N,Tiger shark
jan,2016,AUSTRALIA,Surfing,M,,N,Wobbegong shark
jan,2016,AUSTRALIA,Wading,M,11,N,Blacktip shark
jan,2016,AUSTRALIA,Spearfishing,M,31,N,
dec,2015,SOUTH AFRICA,Kayak Fishing,M,,N,White shark
dec,2015,SPAIN,Swimming,F,38,N,Silky shark
dec,2015,USA,Paddle boarding,M,71,N,
dec,2015,AUSTRALIA,Surfing,M,43,N,whaler shark
dec,2015,BRAZIL,Scuba diving,M,32,N,Tiger shark
dec,2015,ARUBA,Sea disaster,M,58,Y,
dec,2015,AUSTRALIA,Fishing,,,N,White shark
dec,2015,BAHAMAS,Lobster fishing,M,26,N,Bull shark
dec,2015,SOUTH AFRICA,Swimming / Wading,F,22,N,
nov,2015,ECUADOR,Snorkeling,M,55,N,Galapagos shark
nov,2015,USA,Surfing,M,,N,
nov,2015,USA,Swimming,F,,N,
nov,2015,USA,Surfing,M,28,N,Spinner shark
nov,2015,AUSTRALIA,Surfing,M,20,N,Bull shark
nov,2015,USA,Surfing,F,9,,
nov,2015,USA,Swimming,M,54,N,
nov,2015,USA,Wading,F,28,N,
nov,2015,MOZAMBIQUE,Fishing,M,19,N,
oct,2015,AUSTRALIA,Spearfishing,M,50,N,
oct,2015,USA,Body boarding,M,10,N,
oct,2015,SOUTH AFRICA,Surfing,M,42,N,White shark
oct,2015,USA,Surfing,M,21,N,
oct,2015,USA,Surfing,M,21,N,Spinner shark
oct,2015,MOZAMBIQUE,Fishing for shrimp,F,35,Y,
oct,2015,USA,Surfing,M,32,,No shark
oct,2015,USA,Swimming,M,44,N,Tiger shark
oct,2015,USA,Kayak Fishing,M,,N,
oct,2015,USA,Boogie boarding,F,9,N,
oct,2015,USA,Surfing,M,25,N,Tiger shark
oct,2015,MOZAMBIQUE,Fishing,M,,N,
oct,2015,AUSTRALIA,Surfing,M,18,N,
oct,2015,USA,Body boarding,M,22,N,
oct,2015,USA,Wading,M,13,N,
oct,2015,USA,Surfing,M,14,N,Blacktip shark
sep,2015,USA,Surfing,M,22,N,Blacktip shark
sep,2015,AUSTRALIA,Snorkeling,F,7,N,
sep,2015,USA,Kayak fishing,M,,N,White shark
sep,2015,USA,Surfing,M,14,N,juvenile shark
sep,2015,USA,Spearfishing,M,27,N,Tiger shark
sep,2015,USA,Wading,M,12,N,
sep,2015,USA,Photographing fish,M,16,N,
sep,2015,USA,Kayak Fishing,M,,N,Hammerhead shark
sep,2015,USA,Swimming,M,,N,
sep,2015,USA,Surfing,M,20,N,
sep,2015,AUSTRALIA,Surfing,M,42,N,
sep,2015,USA,Stand-Up Paddleboarding,F,50,N,White shark
sep,2015,USA,Kayak Fishing,M,29,N,Hammerhead shark
sep,2015,AUSTRALIA,Surf-skiing,M,62,N,White shark
sep,2015,USA,,M,,N,
sep,2015,THAILAND,Wading,F,37,N,small shark
,2015,FIJI,Spearfishing,M,,N,Tiger shark
aug,2015,USA,Surfing,F,54,N,White shark
aug,2015,USA,Surfing,M,21,N,White shark
aug,2015,USA,,M,,,
aug,2015,AUSTRALIA,Surfing,M,38,N,
aug,2015,USA,Surfing,M,15,N,
aug,2015,USA,Walking,F,10,N,
aug,2015,USA,Kayak Fishing,M,22,N,White shark
aug,2015,SPAIN,Swimming,M,10,,
aug,2015,USA,Spearfishing,M,57,N,Hammerhead shark
jul,2015,AUSTRALIA,Surfing,M,52,N,White shark
jul,2015,COSTA RICA,Surfing,M,47,N,
jul,2015,AUSTRALIA,Surfing,M,40,,
jul,2015,USA,Surfing,M,25,N,spinner shark
jul,2015,USA,Floating,F,35,,but shark
jul,2015,AUSTRALIA,Scallop diving on hookah,M,46,Y,White shark
jul,2015,USA,Kayak Fishing,M,31,N,Mako shark
jul,2015,AUSTRALIA,Surfing,M,40,N,whaler shark
jul,2015,REUNION,Surfing,M,45,N,Bull shark
jul,2015,SOUTH AFRICA,Surfing,M,34,N,White shark
jul,2015,USA,Surfing,M,38,N,White shark
jul,2015,USA,Treading water,M,39,,
jul,2015,FRENCH POLYNESIA,Swimming,M,,,No shark
jul,2015,BAHAMAS,Spearfishing,F,23,N,
jul,2015,USA,,M,32,N,
jul,2015,AUSTRALIA,Surfing,M,52,N,White shark
jul,2015,AUSTRALIA,Body boarding ,M,32,N,White shark
jul,2015,USA,Swimming,M,68,N,
jun,2015,AUSTRALIA,Surfing,M,,N,
jun,2015,USA,Playing in the water,M,12,N,
jun,2015,USA,Swimming,M,18,N,Bull shark
jun,2015,SOUTH AFRICA,Body Boarding,M,19,N,White shark
jun,2015,USA,Swimming,F,,,
jun,2015,SOUTH AFRICA,Surfing,M,23,N,White shark
jun,2015,USA,Standing,M,43,N,
jun,2015,AUSTRALIA,Swimming,M,19,N,Wobbegong shark
jun,2015,USA,Body surfing?,M,47,N,
jun,2015,USA,Swimming,M,6,N,Sandtiger shark
jun,2015,AUSTRALIA,Surfing,F,37,N,White shark
jun,2015,USA,Standing,M,9,N,small shark
jun,2015,PUERTO RICO,Spearfishing,M,36,N,
jun,2015,USA,Swimming,M,10,N,
jun,2015,USA,Wading,M,16,N,Bull shark
jun,2015,USA,Wading,F,12,N,Bull shark
jun,2015,USA,,F,,N,Mako shark
jun,2015,USA,Boogie boarding,F,13,N,
jun,2015,USA,Playing,M,11,N,Bull shark
jun,2015,USA,Attempting to rescue a shark,F,17,N,nurse shark
jun,2015,REUNION,Surfing,M,47,N,Bull shark
may,2015,USA,Standing,F,14,N,
may,2015,USA,Wading,F,19,N,
may,2015,FRENCH POLYNESIA,Spearfishing,M,19,N,
may,2015,USA,Swimming,F,13,N,
,2015,USA,Surfing,M,18,N,
may,2015,USA,,M,30,N,
may,2015,NEW CALEDONIA,Snorkeling,M,50,Y,Bull shark
may,2015,USA,Swimming,M,,N,
may,2015,AUSTRALIA,Surfing,M,,N,White shark
may,2015,SOUTH AFRICA,Diving,M,29,N,White shark
apr,2015,USA,Snorkeling,F,65,Y,
apr,2015,USA,Wading,M,63,N,foot shark
apr,2015,AUSTRALIA,Surfing,M,26,N,White shark
jun,2015,AUSTRALIA,Surf skiing ,M,71,N,White shark
apr,2015,USA,Photographing the shark,M,48,N,Blue shark
apr,2015,REUNION,Surfing,M,13,Y,Bull shark
apr,2015,AUSTRALIA,Paddle boarding,M,,N,
apr,2015,USA,Spearfishing,M,70,N,Bull shark
mar,2015,ITALY,Diving,M,43,,
mar,2015,BRAZIL,Surfing,M,23,,No shark
mar,2015,SOUTH AFRICA,Kayak Fishing,M,36,N,White shark
mar,2015,EGYPT,Swimming,M,52,Y,Mako shark
mar,2015,USA,Standing / Snorkeling,M,58,N,Tiger shark
mar,2015,FRENCH POLYNESIA,Hand feeding sharks,M,9,N,Blacktip shark
mar,2015,AUSTRALIA,Fishing,M,,N,
