Date,Year,Country,Activity,Sex,Age,Fatal (Y/N),Species
aug,2012,REUNION,Surfing,M,39,N,Bull shark
aug,2012,FRENCH POLYNESIA,Spearfishing,M,,N,Lemon shark
jul,2012,AUSTRALIA,Surfing,M,48,N,White shark
jul,2012,USA,Body surfing,M,50,N,White shark
jul,2012,AUSTRALIA,Surfing,M,24,Y,White shark
jun,2012,USA,Swimming,M,6,N,Bull shark
jun,2012,USA,Sitting in the water,F,16,N,Reef shark
jun,2012,USA,Fishing,M,23,N,Nurse shark
jun,2012,USA,Swimming,F,18,N,Blacktip shark
jun,2012,USA,Swimming,M,,N,Blacktip shark
jun,2012,USA,Swimming,M,16,N,Blacktip shark
jun,2012,ITALY,Attempting to rescue an injured & beached shark,M,57,,Blue shark
jun,2012,AUSTRALIA,Surf skiing ,M,30,N,White shark
may,2012,MEXICO,Free diving / spearfishing,M,46,N,Bull shark
may,2012,USA,Kayak Fishing,M,,N,Tiger shark
may,2012,USA,Kayaking / Fishing,M,30,N,White shark
may,2012,USA,Paddle boarding,F,15,N,White shark
apr,2012,SOUTH AFRICA,Body boarding,M,20,Y,White shark
apr,2012,AUSTRALIA,Kayaking,M,27,N,White shark
apr,2012,USA,Surfing,M,28,N,Tiger shark
,2012,USA,,M,,N,Unidentified Shark Type
mar,2012,AUSTRALIA,Scuba diving,M,33,Y,White shark
mar,2012,AUSTRALIA,Crayfishing,,,N,White shark
mar,2012,AUSTRALIA,Surfing,M,20,N,Bull shark
mar,2012,USA,Surfing,M,61,N,Bull shark
mar,2012,AUSTRALIA,"Diving, feeding sharks",F,34,N,Nurse shark
feb,2012,USA,Kite Surfing,M,,N,Spinner shark
feb,2012,AUSTRALIA,Fishing,M,,N,Nurse shark
feb,2012,SOUTH AFRICA,Fishing,,,N,White shark
jan,2012,AUSTRALIA,Snorkeling,M,26,N,Tiger shark
jan,2012,BAHAMAS,"Diving, photographing sharks",M,,N,Tiger shark
jan,2012,TAIWAN,Fishing,M,24,N,Blue shark
jan,2012,AUSTRALIA,Surfing,M,44,N,White shark
jan,2012,SOUTH AFRICA,Swimming,M,25,Y,Bull shark
jan,2012,USA,Surfing,M,53,N,White shark
jan,2012,AUSTRALIA,Spearfishing,M,34,N,Tiger shark
dec,2011,AUSTRALIA,Surfing,M,51,N,White shark
dec,2011,AUSTRALIA,Surfing,M,14,N,Wobbegong shark
nov,2011,AUSTRALIA,Swimming,M,10,N,Wobbegong shark
nov,2011,USA,Kayaking,M,,N,White shark
oct,2011,USA,Surfing,M,27,N,White shark
oct,2011,SOUTH AFRICA,Diving,,,N,Raggedtooth shark
oct,2011,AUSTRALIA,Diving,M,32,Y,White shark
oct,2011,USA,Surfing,M,41,N,White shark
sep,2011,SOUTH AFRICA,Swimming,M,43,N,White shark
sep,2011,USA,Spearfishing,M,21,N,Bull shark
sep,2011,PAPUA NEW GUINEA,Kite Surfing,M,30,N,Tiger shark
sep,2011,AUSTRALIA,Body boarding,M,21,Y,White shark
sep,2011,USA,Surfing,M,19,N,Spinner shark
aug,2011,SOUTH AFRICA,Surfing,M,49,Y,White shark
aug,2011,FRENCH POLYNESIA,Surfing,M,32,N,Reef shark
aug,2011,SEYCHELLES,Swimming or Snorkeling,M,30,Y,Bull shark
jul,2011,SOUTH AFRICA,Surfing,M,29,N,White shark
jun,2011,SOUTH AFRICA,Scuba diving,M,22,N,Bull shark
jun,2011,USA,Playing in the surf,F,10,N,Bull shark
jun,2011,USA,Surfing,M,,N,White shark
jun,2011,UK,Fishing,,,N,Whitetip shark
jun,2011,USA,Scuba diving,M,28,N,Blacktip shark
jun,2011,MALAYSIA,Snorkeling,F,,N,Reef shark
may,2011,SOUTH AFRICA,Surfing,M,33,N,White shark
may,2011,USA,Surfing,F,,N,Tiger shark
may,2011,USA,Paddle boarding,F,,N,Tiger shark
may,2011,SOUTH AFRICA,Spearfishing,M,28,Y,Zambesi shark
may,2011,NEW CALEDONIA,Kite Boarding,M,15,Y,Tiger shark
apr,2011,USA,Spearfishing,M,32,N,Bull shark
apr,2011,AUSTRALIA,Washing sand off a speared fish,M,17,N,Reef shark
apr,2011,NEW ZEALAND,Surfing,M,41,N,Whaler shark
apr,2011,INDONESIA,Surfing,M,,N,Bull shark
mar,2011,USA,"Standing, holding shark pup",M,,N,Blacktip shark
mar,2011,MEXICO,Swimming,F,,N,Bull shark
mar,2011,AUSTRALIA,Surfing,M,48,N,Bull shark
feb,2011,AUSTRALIA,Fishing,M,36,N,Bull shark
feb,2011,AUSTRALIA,Diving for abalone,M,49,Y,White shark
jan,2011,BAHAMAS,Scuba diving,M,55,N,Reef shark
jan,2011,AUSTRALIA,Fishing,,,N,White shark
dec,2010,EGYPT,Snorkeling,F,70,Y,Whitetip shark
dec,2010,EGYPT,Snorkeling,M,54,N,Mako shark
dec,2010,EGYPT,Snorkeling,M,46,N,Mako shark
nov,2010,EGYPT,Snorkeling,F,70,N,Whitetip shark
nov,2010,EGYPT,Snorkeling,F,48,N,Whitetip shark
nov,2010,AUSTRALIA,Fishing,M,,N,White shark
oct,2010,AUSTRALIA,Snorkeling,F,20,N,White shark
oct,2010,USA,Body boarding,M,19,Y,White shark
oct,2010,AUSTRALIA,Surfing,M,22,N,Bull shark
oct,2010,BAHAMAS,Snorkeling,M,,N,Lemon shark
sep,2010,USA,Surfing,M,29,N,White shark
sep,2010,SOUTH AFRICA,Swimming,M,29,Y,White shark
aug,2010,AUSTRALIA,Surfing,M,31,Y,White shark
aug,2010,USA,Kayak Fishing,M,45,N,White shark
aug,2010,USA,Kayaking,M,,N,White shark
jul,2010,USA,Swimming,M,10,N,Blacktip shark
jul,2010,USA,Surfing,M,55,N,Spinner shark
jul,2010,USA,Fishing,M,,N,Nurse shark
jul,2010,USA,Fishing,M,20,N,Blue shark
jun,2010,USA,Surfing,M,20,N,Bull shark
may,2010,USA,Fishing,M,49,N,Lemon shark
apr,2010,USA,Measuring sharks,M,29,N,Lemon shark
apr,2010,EGYPT,Swimming / treading water,M,24,N,Whitetip shark
feb,2010,AUSTRALIA,Surfing,M,46,N,Wobbegong shark
feb,2010,AUSTRALIA,Body boarding,M,18,N,White shark
feb,2010,USA,Surf fishing / wading,M,,N,Spinner shark
jan,2010,BRAZIL,Surfing,M,29,N,Hammerhead shark
jan,2010,SOUTH AFRICA,Standing,M,37,Y,White shark
jan,2010,AUSTRALIA,Snorkeling,F,9,N,Reef shark
dec,2009,MOZAMBIQUE,Swimming,M,27,N,Zambesi shark
dec,2009,AUSTRALIA,Spearfishing,M,18,N,Bull shark
dec,2009,NEW ZEALAND,Swimming to shore from capsized kayak,M,24,Y,White shark
dec,2009,AUSTRALIA,Rowing,,,N,White shark
oct,2009,AUSTRALIA,Kayaking,M,27,N,White shark
oct,2009,MOZAMBIQUE,Spearfishing,M,,N,Zambesi shark
oct,2009,AUSTRALIA,Diving,M,23,N,Bull shark
sep,2009,USA,Swimming,M,,N,Bull shark
aug,2009,SOUTH AFRICA,Surfing,M,25,Y,White shark
aug,2009,USA,Swimming,F,22,N,White shark
aug,2009,SOUTH AFRICA,Body boarding,M,,N,White shark
aug,2009,USA,Surfing,M,,N,Tiger shark
aug,2009,USA,Wade Fishing,M,56,N,Bull shark
,2009,BAHAMAS,Spearfishing,M,14,N,Bull shark
jul,2009,BAHAMAS,Spearfishing,M,,N,Reef shark
jul,2009,USA,Swimming,F,43,N,Nurse shark
jun,2009,VIETNAM,Fishing for sharks,M,,N,White shark
jun,2009,EGYPT,Scuba diving,M,,N,Whitetip shark
jun,2009,EGYPT,Scuba diving,M,,N,Whitetip shark
jun,2009,EGYPT,Snorkeling,F,50,Y,Whitetip shark
may,2009,USA,Surfing,M,31,N,Spinner shark
may,2009,USA,Surfing,M,49,N,Spinner shark
may,2009,USA,Surfing,M,55,N,Spinner shark
may,2009,GUAM,Spearfishing,M,27,N,Blacktip shark
apr,2009,USA,Spearfishing,M,,N,White shark
mar,2009,SOUTH AFRICA,Fishing ,M,59,N,Raggedtooth shark
mar,2009,AUSTRALIA,Surfing,M,17,N,Whaler shark
mar,2009,MALAYSIA,Feeding fish,F,,N,Reef shark
mar,2009,AUSTRALIA,Wading,M,21,N,Wobbegong shark
mar,2009,SOUTH AFRICA,Fishing,M,40,N,Blue shark
feb,2009,AUSTRALIA,Surfing,M,33,N,White shark
feb,2009,AUSTRALIA,"Diving, but on the surface when bitten by the shark",M,31,N,Bull shark
feb,2009,AUSTRALIA,Surfing,M,41,N,White shark
jan,2009,CUBA,Spearfishing,M,15,N,Bull shark
jan,2009,SOUTH AFRICA,Swimming,M,25,Y,Tiger shark
jan,2009,AUSTRALIA,Fishing,M,,N,White shark
jan,2009,SOUTH AFRICA,,,,Y,White shark
jan,2009,AUSTRALIA,Surfing,F,13,N,White shark
jan,2009,AUSTRALIA,Surfing,M,31,N,White shark
jan,2009,NEW ZEALAND,Fishing,,,N,Mako shark
,2009,CUBA,Spearfishing,,,N,Bull shark
dec,2008,AUSTRALIA,Kayaking,M,29,N,White shark
dec,2008,AUSTRALIA,Snorkeling,M,51,Y,White shark
dec,2008,USA,Kayaking,M,,N,White shark
dec,2008,NEW ZEALAND,Fishing,M,,N,Whaler shark
dec,2008,SOUTH AFRICA,Fishing,M,15,N,Raggedtooth shark
dec,2008,AUSTRALIA,Fishing,,,N,White shark
,2008,MOZAMBIQUE,Spearfishing,M,,Y,Zambesi shark
nov,2008,EGYPT,Scuba diving,F,,N,Whitetip shark
nov,2008,AUSTRALIA,Fishing,M,,N,Whaler shark
